killed_by,killer_name,killer_placement,killer_position_x,killer_position_y,map,match_id,time,victim_name,victim_placement,victim_position_x,victim_position_y
SCAR-L,unprotectedS3X,24,178131.5,277951.5,MIRAMAR,2U4GBNA0YmlRJP0jB7wBeT3ZiBu6kH7YJCemso3y0XoMjVUiy-RZnuPIIgKPsDp-,210,Carlevin,20,178281.5,278062.8
AKM,houqingshui,6,428613.7,486825.3,ERANGEL,2U4GBNA0YmnTtFzpudfP6zZgMJBc47OnJ_pl7uznyiLWIuJa2RW0HsDiT8xCQGmQ,1271,STKingMars,10,417082.6,472308.8
S1897,YANBISHUSHENG,18,344663.8,321098.9,ERANGEL,2U4GBNA0YmnXzAn5U_P5zOAjpsYBj9i2I4bSuY1HEF1mrNW9WpM2t4MFoyqknpXk,234,GladIfelter,38,344608.4,321040.5
P92,SpartanWoot1337,22,624803.8,611040.4,ERANGEL,2U4GBNA0Ymm961_RbRl_9Ir-UqwbeZaGhzUmKMBMUO1QHpGUoCqmdysSKGqMBv7b,195,XxsnyderxX,24,625687.6,611413.8
S686,Complacents,10,436909.1,333154.8,ERANGEL,2U4GBNA0YmlZ3LwTwlKZ1yXjUx_8XYcHboGtczArIdZEa62p4Qi-6m_rkaGvCCT_,221,Cuiranyi,26,437608.4,333153
P1911,swole-b,68,412648.3,295300.6,ERANGEL,2U4GBNA0Ymmqkj8BNX7NYyYSMUB8K-ZN-osyoPHkSoacHT3oQbOSJOjo7OHft5_3,204,Bornious,74,412174.9,295249.4
Kar98k,dengyingGG,19,508098.6,536408.6,MIRAMAR,2U4GBNA0YmlVaUY1IHmrKhftM3R16HDRtL5K__vwtlmsLHdv2-C2oyL40YcfzAE6,792,therosaparks,21,507726,541990.4
SKS,1386,6,481225.9,541115.1,ERANGEL,2U4GBNA0Ymks3ZmiFMpy1TG0PzhgLhr024KhcfcmwDoB0abfkFfkIrjVaELtkV9W,1592,Bnb08,5,508330,568081.4
Down and Out,Raz1337pro,7,427484.2,378954.9,ERANGEL,2U4GBNA0Ymk8eZfDUERFwErrO9Yr_4rzu8TmjYqGfz3K0OHQZj5SMbRj030aiIrC,1245,Tudousi666,18,427390.3,382695.6
M16A4,geryer,28,423606.3,325282.7,ERANGEL,2U4GBNA0Ymnb87sBjkPqtEJxzuHARDTbsMH5Ir3LT443oNUvFLHto-g1URJMYLY9,240,wscsm13,53,423738.8,324755.2
Kar98k,NANCHENG18,9,433618,280881.8,MIRAMAR,2U4GBNA0YmljNcI0wTqwf4ZQiQ6E3PJX6c2uOuxpSh2gPsCgLrdYumRiulMANpLy,983,xiangguazi-x,18,429361.4,292211.5
Falling,JayGWentworth,32,580354.7,468157.8,ERANGEL,2U4GBNA0Ymm94rZKD7ziY7MAvKBzyunhTIFHhUKAL26AgBKkWxqkqO0cbROF6eX5,179,Na_M3i,11,580506.6,468435
Bluezone,NA,NA,NA,NA,ERANGEL,2U4GBNA0YmmubTlHoSr6-0NhLfFzKVNuxPQbXOxBI2oAbGnaiiG8Ryf-tdz2y2jj,1753,lufituaeB,4,411580.8,423154.8
