killed_by,killer_name,killer_placement,killer_position_x,killer_position_y,map,match_id,time,victim_name,victim_placement,victim_position_x,victim_position_y
AKM,ZhangDaDaZZZ,7,440380.3,548100.6,MIRAMAR,2U4GBNA0Ymm23kvxZaf0h-1hQIHA8SBhs4bxqrktYEFq73qH8INYMZMmDnFrOuyp,609,Plutonord,26,440490.5,547786.2
AKM,MJC1025,13,490535.7,348498.5,ERANGEL,2U4GBNA0Ymn1uko0Y5ROEf2A63zJTyPBD8XwqOYfAJiq6peth1GWMGuhc0ltCUMl,989,Dumbassgeek,18,490739.8,348909
M16A4,KlausWasTaken,11,665946.2,107312.3,ERANGEL,2U4GBNA0YmlnyReM2OZY4P6RmziiGXILQzZ2jXeVHDDYdCPlctJCIkTWWdaxuIy0,158,CoolHaoChen,9,665270.2,111872.7
Micro UZI,ChiggaJay,7,570725.8,247507,ERANGEL,2U4GBNA0Ymks-mI_1zDvD49Vnr1kfSEHIprTwjnOnpiNZo5KzKNKFVPchqFFM7zf,214,SKHY,20,570416.9,247717.6
S1897,chrie-Z,23,344463.8,306297.6,ERANGEL,2U4GBNA0YmlWWPz0Njvfj82grK8n2e76SK8hyFsdlbLoJpJik2E4tGJMOdTqbR0i,255,OutMePub,13,344455.1,306165.2
M416,Night__Knight,16,152650.7,290486,ERANGEL,2U4GBNA0Ymk2UukE8sikpr0RFqu-CbbPIByuvL6gFLJK4Nf8xfoibw687ZXN9MEa,607,Adelus,15,152984,289873.1
S1897,czb123,13,456174.6,98892.34,ERANGEL,2U4GBNA0Ymlou3LRhjBCjNUvvBGZ1lv5sfIadrhdBl7f6O6lgWYvBHIOTuNC75FO,314,Haozishu85,17,456695.3,99302.98
M16A4,Longbros3,11,420741.8,327588.2,ERANGEL,2U4GBNA0YmlMqsLyd9qR5tGraJyWc4MKPOVF7nFtT64QgXDzEqbDYtprB7aRb6wN,1116,Sovro,17,421490.1,327898.9
Mini 14,C137-Rick,46,369619.3,418067.2,ERANGEL,2U4GBNA0YmmrPcZyT5RqjW1W5wPLHfNt6t2bX1qmEujgGzqbll93mwJXLff8uV8w,232,VIIIXIIXXIV,66,370338.8,415840.8
AUG,LieNyL,7,667314.3,479397.2,MIRAMAR,2U4GBNA0YmmWNKct8vJTD2AQmwTIxZTz_q0j4Y2tiu71ujLcJIGw5SM9EGbBJFQk,1690,Sherry_Mushroom,6,666926.9,479208.6
Kar98k,YANSHENI,11,443958.2,622956.9,ERANGEL,2U4GBNA0YmnK9FE1_v6SmpmbLOs7zh_vJxzj1-PvF0_UIYuFtP521jl1AuniGhpC,520,SirMouse,16,441304.6,622142.4
M416,666qaz,1,282856.1,460205.8,NA,2U4GBNA0YmmtCpM5o7PVCwrdRP-RuBJbMK4ZilJSbk9OhvxdOe7obnJrjEQJkRtz,1065,DAREbb,17,319061.7,435488.1
SKS,Chastlove7,3,380265.2,599757.6,ERANGEL,2U4GBNA0Ymlk-vy0qdhc5jlBy98kQ7T_BQvwGmy5tLnPQrvo3xyfCNwiwbc0JW4v,966,Marauder66,27,367704.2,584778.9
M16A4,YVR-AirportBear,8,437913.3,622984.9,ERANGEL,2U4GBNA0YmmoMA1KZk2zPm0U_7ChsL4dq9WRfOBn89KlYDsdk8m0Q3HTckLalEK8,132,Baisha_Yu,23,438025.1,623072
Mini 14,poloyorey,4,242122.6,279201.3,ERANGEL,2U4GBNA0YmkMYNhDrMCrtk9QiGVti2R4NiW2S6f7lTOYfSpK9-UdDA8h6-y9ZpwX,903,Ksylar,NA,226339.7,267297.4
Vector,pigezci,1,445098.3,333887.3,ERANGEL,2U4GBNA0YmnVz0GOjEjQ9Mc_ASZ97w7VdwD_uoHZAxjL28bsLIeS_YHo8VRfzOEa,450,PANSCEA666,65,444924.9,334217.8
Down and Out,VignyLoveMatata,2,193871,288453.2,MIRAMAR,2U4GBNA0YmmLZp0PZEHVS9VmvVjjTagdDVjJAYTfne2AwNjkhxVWmdBf4C344nPR,270,sky_XiaoNan,23,195071.7,287048.7
Bluezone,NA,NA,NA,NA,ERANGEL,2U4GBNA0YmnK3tKcR1UrT_U9HVtgksrE54onj-nsvg2ytqa4ebhXjSELkfdi6Cxy,860,SXHTt,24,0,0
Mini 14,MeekoZzz,5,661767.8,386766.7,ERANGEL,2U4GBNA0YmkXZpIWc1I3_5n4TpxSvgIEYwJy8g5St21ywZjfJvzR_ZvLYjX2LOxT,1522,PVT_Arms,6,647832.9,383805.5
Down and Out,LanParty,23,572492.9,385472.8,ERANGEL,2U4GBNA0YmnhanMwj9PYj4W5XUFxb4fAUOGKOYIpvOjbtU-In-T0Yml5qWyyuw5a,191,MIKIKIAAAA,35,570528.4,388965.1
M416,auxming,32,336214.7,157358.6,ERANGEL,2U4GBNA0YmnK62yB1nS8tlJT58q5MrBJshSRqTKQgEnF9NJ0UXTQzF1e8yoCWkty,638,DIguangcheng,55,336099.8,157925.3
Dacia,EatMyCat,3,372016.8,447989.3,ERANGEL,2U4GBNA0YmlJYFMs5gmiyuiCUkkit4wai2hxyitxWWYGblsef1T4to1ld9JfT5ZF,1273,mdmmdm,13,359459.8,459381.2
Down and Out,KevNKillz,11,180225.9,281047.3,ERANGEL,2U4GBNA0YmkitXW_XNFU-lu0Emxh_XpJWtpdu12_ZZOah86KvVLa7i_BQsdj7-2D,645,Maniacea,29,185094.9,280831
Kar98k,Ultra7mag,8,481586.3,299835.9,ERANGEL,2U4GBNA0YmmwCL1TDGJnxgLMV6K45j8MozvgYbQYSLAuNSLLQfW2vqQhdScGBP89,1037,Expunged,5,451052.6,294560.5
Down and Out,MingYi,2,689661.8,265478.8,MIRAMAR,2U4GBNA0Ymlh7oGUVTWmONCSRTT1ufq07XVc0g2aYePf82RfSOkI_i9FcpMihHTx,1598,Moonlight2458,4,691859.5,263635.8
S1897,xXAdo1f_Hit1erXx,1,622546.3,464571.3,MIRAMAR,2U4GBNA0YmlOK8ACOIQiUUQF4WWUkexLSSdFeUGD4ygXPy8YfYrwBPF-m9WuDsVI,225,Calidous,25,624145.8,464281.6
Down and Out,THCgoodboy,10,285537.2,356205,ERANGEL,2U4GBNA0Ymnz98Ao2KPvJDTNRpxgntgzRu3HS1XH2DLTBroChPHGh5RbwZ38nlMe,1448,hankaiHK,12,285697,353642.6
Hit by Car,Ace-7z,27,410681.2,334220,ERANGEL,2U4GBNA0Yml3w2TYPn1SPy-wiVhmH6xgyCkrSIvxZkOGQChlRQTVsE_iYL-eNuW0,1031,Ace-7z,27,410681.2,334220
Down and Out,PiPiGe8,28,488825.2,643258.4,ERANGEL,2U4GBNA0Ymlam4j61Q6i8Nd5ghreW7T8eNUzQAuTv6XAvtUgGU-6y__TKCNCjLFb,303,linhahha,24,467107.9,647045.7
UMP9,Sargento_Peixoto,1,421973.8,197001.7,MIRAMAR,2U4GBNA0YmniTetLjH1XkrRj7z31dx1Gwtvf027KUMFDNg72DByNZKKLfMrnbuJc,799,wangshiyu_,41,421938.8,200580.8
P92,Muy-Jugoso,69,442565.5,337578.6,ERANGEL,2U4GBNA0YmnXAAii-_wZfr8EbZNls7VC04JvwHO11pNX5L9rLsELDovTmrrk2olA,195,Kev-g,75,442514.6,337740.6
SKS,frigley,27,614401.9,382443,ERANGEL,2U4GBNA0YmnB5gbP7U9j38Ooiqx9_SmJ2kB8OQvGhXeYNswr8XNbIjoZp1kLb55N,218,Tanker_Archer,67,626263.1,381240.4
P18C,Niches,22,416973.9,328620.1,ERANGEL,2U4GBNA0YmmlmklXvRSkHMOxm6A2EhJ7-m71z1OO9NUqV-qDlej3_kxJ2sI5286d,196,CHINA-DAHAO,23,417079.1,328747.2
Kar98k,SPMF-Z,49,405494.3,308696.8,ERANGEL,2U4GBNA0Ymm1YW0E-A9IwRHMZToczqoATVNYNkSe77wu7qNzmhiefD8zeVParF3S,523,COCKBOI,56,401724.5,294019
AKM,Captain_Nick,21,612694.4,599109.4,ERANGEL,2U4GBNA0Ymk4vocT8LtiBxbcHZQxF7K_3Po4llXM8QB11VB6xWEJ5uVh3LvEKz6U,442,Gyoukei_Q,31,612020.7,598351.6
Down and Out,epicintrepid,5,360735.6,292673.1,ERANGEL,2U4GBNA0YmlQ9Slo-m25wKm9GmZ5e_fAPcjWp2qQdmFGm217LQP6eAQr9ZbH_xgP,916,cainepwnss,18,365057.6,295999
Micro UZI,M0ose_,14,416443.8,481166.9,ERANGEL,2U4GBNA0Ymkc-rBQlBRT4a7DEoTUAGiPoNlEPzqayBluzEUQDSNwKAZDcbHtOPLD,272,MetalTactical,63,415915.6,481623.2
S12K,zekem41,9,174559.6,289531.3,ERANGEL,2U4GBNA0Ymk5_Eb3M5FBgddllRORVokuD0zmEB4YHTrXk5ud0VBNWbm5JIdLvq_o,136,huangxingyan,20,174388.6,289502.1
Groza,NewTkOver,30,586332.6,352566.3,ERANGEL,2U4GBNA0YmknVRP74X2sm_I-w__fzyv1cisYb1uq9rolbn7pcVsUkLO60Iswk4r2,527,wuyefan,31,581231,356972.5
SCAR-L,Broderickzhou,4,560215.8,388861.6,MIRAMAR,2U4GBNA0YmmuKMMubL4Npe2yEDnvn28xskBFZjRdexRoieCtrreJEOfbYmihAJIW,1478,patrickeu,10,560274.4,389032.9
Down and Out,God_7,12,674172.4,57505.01,MIRAMAR,2U4GBNA0YmmAKHWIp-XmtXTKdTIg8_-n1OuLDeQexC16ctb8tViEVRTGrWXHD5Rj,226,danknote,24,668369.4,55763.67
M16A4,PsychoticSniper,31,137692.8,514160.7,MIRAMAR,2U4GBNA0Ymmew8gkMLx12Iidv_SXJ3qB4S_y4PCJZMOzBNr50UBsLMEtbJ9nOW67,221,Noahguyer,92,0,0
M416,zhangzjj,2,406736.2,306101,MIRAMAR,2U4GBNA0YmkNf08tQSP6z41smQ1EFr29AYd6OCsfyt3ZT9VkqJhE27cKWyWALFI2,882,deyuan123,24,406652.8,305924.3
M416,SaMaffffff,2,429013.4,401219.9,ERANGEL,2U4GBNA0YmmTvpumeqZtgB1iDbVmSWZTvahm1Dckmhy3njpxaKjx815lWomr4mhS,1878,HenGxAiShangNi,NA,434197.7,402762
SCAR-L,ChengXiao777,20,179543.6,301511.2,MIRAMAR,2U4GBNA0YmlZejN2sn4eFefo-pq-gHybGn5IpvrUOt3NQCZEKNI4DTOQK985WiVE,381,iSkellington,2,180519.4,300904
Down and Out,NA,NA,NA,NA,ERANGEL,2U4GBNA0Ymkf1g3HKDOEPLyesHVWpAaKKoc31x4xbo9SvdDo6n9JtvOI3ETyA4H3,1759,BetaCentauri,3,235457.5,418984.9
SCAR-L,BAIWEIWZUIAI,7,562923.7,498830.1,ERANGEL,2U4GBNA0Ymn-A7-y0rKCfEwOMl5w4HU9RVYwGFkYTjky5MNK3D3vmp0l6hHDO2nT,949,holomor,13,562763.1,499752.2
M416,heiheiheipa,1,634720.6,261881.9,MIRAMAR,2U4GBNA0YmniBxd0XpWXB3bTTtPEmCCqmccBTTg9ZUy90pUQ8Csih5FtPfT7dB2i,926,tinywinkie,12,635624.8,263375.4
Mini 14,Xufi,4,343257.9,412105.2,MIRAMAR,2U4GBNA0YmkN4Z_cLzAK-sfVLURkFRwUx0fUg7dsONTxbp1tBejZxelDViowJxvR,1678,WK-Sankin,7,355549.2,434219.6
Vector,Jugglen,22,621468,298535.9,ERANGEL,2U4GBNA0YmnA9SrVXiJNsiKKHPGlLBaSldacpHwZ-kXG1BDiwImBsSISo55msPF0,332,KAMyHuCT,63,621734.6,298477
Kar98k,YB626,2,437140.2,402721.3,ERANGEL,2U4GBNA0YmmS_2UP6zpkYmefYr5GNIX7x2L8nFdFV3J-j_mtQDX-0smdl_biySi6,1527,ZH_206_105,8,443684.5,406341.3
M416,Owenhe,1,390911.5,351844.5,ERANGEL,2U4GBNA0YmlZp42tTdTQCL1ZPlRoQ93JMsxdSBFPAGtaGB4Y3rnAHgbRfccqi7FC,1126,itzgekcotv,14,397281.3,366461.6
M416,Hero-001,10,414554.3,385845.9,ERANGEL,2U4GBNA0Ymk0DBfC4RDxUkYMLp4mQWGvybKpY2_tx8X0APSDYOfX1r_qIBqLNddB,1314,UsherActor,7,414736.3,384182.3
M416,Weibo81293901,17,393920.8,349200.2,ERANGEL,2U4GBNA0YmmryY3oNbNT6tsXjpOMW3meQLuTMU1pD4LIPNk__OwzK0VHemY2tZNR,192,liuxiaoyi19,80,393843.3,349220.2
S12K,wanxue9527,5,192602.3,520591.9,ERANGEL,2U4GBNA0YmnesSaVrRMB7ty8dujf-dObB-QqjhS-YzxzW4VvtOyQFZyaLkp57Mv9,229,kissjokers,39,192481.6,520931.9
AKM,SJKA,13,569164.6,303548.7,ERANGEL,2U4GBNA0YmlOyRVoyCsBnYlridNPoXE3tX-BB5oFf9AARtqfN1TA4ktLqCGehe7V,1202,MaiAnhDao,25,571552.3,304585.6
Down and Out,Moyval,7,103442.2,339086.8,ERANGEL,2U4GBNA0Ymkw9laAWIXeUBOeRCxB9s-djnk7UrA2NjMinsQl64ZSddtaY7xDb1EC,1228,respectedsamurai,12,107877.4,341065.5
M16A4,Theoreosmilk,27,427248.9,323490.1,ERANGEL,2U4GBNA0YmnmhAMXVzPdgB-jfRWNEqLhSy-0jSSGchGh77qh_IRSD4z2_SUS6TKF,711,KBSDUI,7,429005.3,340720.9
Punch,HuangQiuPing,23,392418.5,288079.5,ERANGEL,2U4GBNA0YmmmDB3yDJoWyADY3rNCVbmEK0ZybIODE0WlqEw_Kc4br4nd2vsw7FHX,100,Xhn-Yu,28,392337.1,288146.8
Punch,Qihan00,1,631447.4,441812.7,ERANGEL,2U4GBNA0Ymkjq5Z-a8Y2OGMjJ3bH0mMEKgzCgfbxUPceYtx2P-LLB6WicRNlvaCQ,689,zggwzzz,5,631480.8,441852.7
Kar98k,MooS_Wong,5,583652.6,352385.1,ERANGEL,2U4GBNA0YmnLsMbhkhCVmw-VKHSGfyQkkUOTePfl8Is6jEhQUeAunMUMfc9L7dsP,1514,Flikka,18,590583.2,377142.9
Down and Out,wohuichangguoge,2,575941.3,504313.1,ERANGEL,2U4GBNA0YmnxlLBpVHR9Tgx2qkMhVfeum6liafPdKCD7lBF4BcO6YGWbiWo_H6ie,1146,Blueshert,16,575895.4,504842.3
AKM,Zloy86,1,502120.3,567477.9,ERANGEL,2U4GBNA0YmmbYWCvNI5UNZ3AcdX7ez8omzgv6mW-UFs10FgebV4srHIKDKX-yyW1,1775,HuangLongFu-Ygg,4,504653.1,554392.6
AKM,RikiTakeuchi,4,355662.1,646771.2,MIRAMAR,2U4GBNA0YmlDDIFWNdMBhU4-84ty6TlsO05dvzSHGt7FOEdtKwI0AtX-frJJzjXa,1378,guomingtao8686,6,349300.8,636105.4
Hit by Car,RealChochu,37,509665.8,325372.9,ERANGEL,2U4GBNA0YmkAuTDg3bi5_hA48vE07pA666vB0tU2j7WejmcODppodbyNnL13lKbT,317,TheHDDTerror,49,509244.9,325735.9
Bluezone,NA,NA,NA,NA,ERANGEL,2U4GBNA0YmkWd2dpy53FHhAcX7ZIQppJ62dvcl54hxWuCqKeCIL-N2y4SXVtG7vj,1516,marinmka,4,441417.9,177095.1
Down and Out,YEAGS,27,431382.7,628478.4,ERANGEL,2U4GBNA0Ymn3kijj9KMiD8I-TRHuHC0ySs5ByuUc5CZ9hyRu8hbgqbubVaRRklcy,242,larry1974,34,426835.3,631401.6
SCAR-L,SkyCptn,8,376533.6,435908.4,MIRAMAR,2U4GBNA0YmmE-4Q9zCXPp1e-fQsBNDrlGjK-FkVkOJwX-HtC_SUrg2jToe1juN8p,496,Wallowater,17,376374,434971.3
Bluezone,NA,NA,NA,NA,ERANGEL,2U4GBNA0YmlJqoDRb1VK8x4ixJ4HYmnTvABtrxrQ_X-A-u_WuqTONHTnovmjQ2oN,1743,joey210,8,568195.4,249496.9
AKM,EL_Dss,6,341736.1,165738.4,ERANGEL,2U4GBNA0YmmK_U5KkWN0DUM7B3TE-D-2vHZlxtB1tfPb-Q-y-jc3LmLlBELlZgJ6,225,Autherman,22,341999.3,165814.1
Down and Out,TUDOUFEI,7,494181.8,415139.5,ERANGEL,2U4GBNA0YmkdOTed2g0EEXyNr7Kb8-ZjLMIS1NsSOk-qEMK74m4uSUcVi1M_mCWK,1283,sinbatabz,9,492019.6,413796.2
Punch,xiaolidandan,38,168230.8,540617.1,ERANGEL,2U4GBNA0YmkG74-kNJ6pJOBpfNW_OnP9ABDkCYALqvL_MMgzg_NPhRkdgpDFIfDS,125,AnselZ,47,0,0
M16A4,ThaJuiceman,44,443798.9,627468.4,ERANGEL,2U4GBNA0Ymn8Q5-_JLvbDqm8hhZOi6cUNwqXmzYRAUhORdrv6A0hOGv_u1Fn576f,228,ch4chii,24,444129.6,626922.4
Mini 14,xilihuala678,16,280026.3,358446.7,ERANGEL,2U4GBNA0YmlDNn2YQbd8JdMGGf9t8iwMkXC6ZvqOZ5vARVlYZEKO_-a4-nFJFuJL,1262,injaEscA,21,271305.5,366507.9
M416,Balt,1,713025.8,427874.6,ERANGEL,2U4GBNA0YmnOCrgCjcctZyZ-z_YFKgqBjVKvgcn1HRztpzpKBmXVdF1bwJ63_zAt,1866,China_Sissy,2,711122.1,426968.1
Down and Out,Solitude98,10,303687.9,396870.2,ERANGEL,2U4GBNA0Yml0uxrorlU4zBXtOgtw0qC3CT6Rk_ddbH1B-8RTq-TyXG2Vjb8ddna1,1395,lllllllloooo,7,303241.1,405444.3
Down and Out,no_stalg1c,10,383430.9,315379.3,ERANGEL,2U4GBNA0YmlPirDvt7AkA5p9OoNzw9JLj1CUNT8VXrZ3ozVvojcaW8MfN5HnDnLe,1101,thezoom100,26,390965.9,342886.8
SKS,IIwaduheckII,3,598543,313264.6,ERANGEL,2U4GBNA0YmmCWiIo4bmVvPsRtdq6PVK0nleD4ubkc5ec37hACP-EnIQ-bPOwBkfm,1511,lzjzhn,13,577231.6,326594.9
VSS,RS_MK3,1,443581,394138.1,ERANGEL,2U4GBNA0Ymk2pJOWGrsppozPWX2OgpfeJNsdfnmCVlPQW1ExjUJcrNTLjL26IS5U,1667,the_doctor_br,3,432213.6,391024.5
UMP9,wangzy516,16,382452.6,369217.8,ERANGEL,2U4GBNA0YmkaEDmKT9Z6b_1wWLyGxLMJuRzoEiWi0T01DaY-UFZCIjQq0ObfpDIp,814,ZUIjiachiji6,37,383128.3,367233.2
M416,Zentifer,40,400187.5,347592.5,ERANGEL,2U4GBNA0YmmDUQThCKhyOvLTW6lv4Q-hi9L49Er9wNUPZGxr9rMNOY0fQ21HzXw0,624,fankeizzz,50,399029.3,347390.5
Down and Out,Eunhajjang,27,397709.5,353753.2,ERANGEL,2U4GBNA0YmnTGHGwHgK3YG-AobSoq2YxUUczNalS4mwV4q_mo5iZrZOXAaqGOJgU,304,dotorigooN,36,387677.4,354132
Micro UZI,xmy123456,37,473496.5,472602.7,ERANGEL,2U4GBNA0YmlY4KMB6haMoKsUcCX_5-T696-rrcLpZsjtAEWnKnzhHI5-b5SDWMqr,449,Yangxu26,64,472906.8,471549.2
SCAR-L,ThaddeusSM,6,209843,282650.7,ERANGEL,2U4GBNA0YmmMTt3Ixq6BsGzDa6Mlc1laDtMn4fQw-opx5rXSUTCWQ0zZFhWmy2DH,269,hann-xxun,31,209655.2,282395.3
SCAR-L,KJAKLS,30,390484.6,373716.6,MIRAMAR,2U4GBNA0YmmVFrF1hd5mqqB-NzU10IEPJBV452B7afvUPgCDNLezABE4Jhzb5CFY,940,shaman4869,32,391972,375272.3
S686,jianglingey,80,550062.3,364431.9,ERANGEL,2U4GBNA0Ymn6IHHX1OiJw6nQBITimr0ZQUqRWexT9PD5sCxONV2zWZis6bdehOEs,221,Tinker_Cnsc,85,551865.3,364822.6
Tommy Gun,Doctor_Wings,2,327887,521651,ERANGEL,2U4GBNA0YmnCiNEAAD-NoQ0uqh-4hxx8oPY-Nntmwp_QNQc4CkT3iqOAB0iZkCmq,502,HongJun_No1,14,325282.3,523111.8
M16A4,Yadukai,11,364226.7,395348.3,NA,2U4GBNA0YmlLNU01rQPZJ2Ojl8_rLyXVB4Yb7q7VsnuX8S9Ts-J12roWpR59bxE-,184,Jake_Marks,17,364487,394926.2
S686,Jacquou,17,390841.6,350462.6,ERANGEL,2U4GBNA0Ymmv-GqyTXBjcLHN7MpcpDF1JYTHz9LG2Udi5kfe89cZ_i5d8ExkcVNV,849,xJohnLx,19,390972.9,350050.8
Down and Out,TuGe-,23,426380.9,640997,ERANGEL,2U4GBNA0YmnzDVx3wmDL6GYd0JLXsmPoqkBK_xC5zq1aYTeL8gjKV3tpdKzEy_no,138,Misamisa0119,26,427821.7,640184.4
AKM,Geeee001,1,699238.6,418924.8,ERANGEL,2U4GBNA0Ymnw3NpHmuVWXyRN9O-Ph3vSDQ6cHJtOMVnKTqSB5t6i4r3pgCZdYTxj,1887,j378chen,2,699304.9,415522.3
M16A4,alonesj217,1,414818,332831.9,ERANGEL,2U4GBNA0YmmH4uJRu0fPaTtlew-mZR8fqQ6ju9Daj9hSjulNHhHWMZcIyp6S73Qi,1926,ASDADASDAS,3,415355.5,334715.9
Bluezone,NA,NA,NA,NA,MIRAMAR,2U4GBNA0Yml5WnC3Ts3pR_fb9HhE94vWv4oO0gNj6LQgk6V0-oYIBujHM4AoaQDG,803,liuteng6666,25,0,0
Kar98k,vi666,15,476829.1,430737.6,ERANGEL,2U4GBNA0YmnezqG9ACXaBmEjUo7PtX5fBKE9WvigGgZrlHpe72Sp4lA3UNWXZWWo,779,ExpressK,33,464649.2,426787.2
Down and Out,tobesta,4,506262.6,480593.8,ERANGEL,2U4GBNA0YmlW1eZebD_VJz3zftIPuzlRc1C7WNJwR6tOXQ0JKearWbzI0Qc9xSEg,1477,badnewshooty,7,495367.2,485994.9
AKM,588manman,22,361073.7,170564.1,ERANGEL,2U4GBNA0YmkRrUloquvsgMjfBiz8gRg0G43bgdGsFRCiG0X6_KHxH84_W0TRvHYa,339,OoWatermelon,24,358823.2,170283.9
M16A4,sakana123,18,148523.3,317038.8,ERANGEL,2U4GBNA0YmmTaD_QpO5ePsXbdOzmCS5nIrNaovETDFRznhiN3GlZ5Rhd1-HIG5yP,305,ibarakisiera,27,147354.5,317271.3
SCAR-L,su-123123,9,401111.3,460480.2,ERANGEL,2U4GBNA0YmnivvNsJQgaiRiiNxQ_9HQ0ZHvIeljnGTseJzF_b7s6npKbLhpnda7m,1263,kangkangzhao,12,401128.3,456160.8
Motorbike,NyaaSenpai,29,123869.9,340457.9,ERANGEL,2U4GBNA0YmmlqmKN_A-jkrK-hIIrdG1zEvqc_vV1EBZYlbkuyXYZOjGHvrBD0pMk,557,Blonde_Moment,29,123869.5,340456.4
P1911,SuKe_Hz,8,402353.8,462565.3,MIRAMAR,2U4GBNA0Ymljd3jLeYwqrO6wpD1Qjb6kKT-0i1s96J4j27Zew7esIVAzaxh9vk-e,132,OhTian-,22,402284.5,462484.8
Kar98k,zat110,3,339585.9,392527,MIRAMAR,2U4GBNA0YmkeUTDUx82aiCVKjQgGrqy-r59UsI7VSEQpH8CB1sf83ifymG-UgYhD,986,BEY007,24,345384.6,405392.1
Down and Out,NA,NA,NA,NA,MIRAMAR,2U4GBNA0Ymlm1nqE98Hkqlq6ONTdCUrR3XZ3a5KkzVeHwGiM1dv4V4X2VPVcbGbM,511,skippyloobomp,5,172627.6,383664.3
S1897,A_CUI666,7,368889.6,420091.8,MIRAMAR,2U4GBNA0YmlcpB6R-k-c4eVTVB2Wd0mSkV8IrpmEKO6hbMNDErylx3cOeSSnO_bf,360,0lovevv0,13,367717.1,419577.9
M416,xLcccccj,26,151173.8,289479.7,ERANGEL,2U4GBNA0YmkdFulapoSOKDSq_1w3LDY_ZTkb63bCwo3-wH9mrvFanJkWYEpnT8ks,406,Juliocrazy,22,152271.9,288710.3
SCAR-L,DEPUTY_WHITEY,46,573199.8,423462.5,ERANGEL,2U4GBNA0Ymm71bvJrWkbN-RT05WwmHySO5LuOh5EgxZEXWveb_sn1EOeLJWtkvqe,544,dj7765,53,575732.4,415931.9
UMP9,BREAKINGJ,1,699100.4,414071.9,ERANGEL,2U4GBNA0Ymk1feyr5R7GxTWNyNUuXZYVElssmC8qKcXl-RFHFTfCuiuszQhqFA01,1429,Es-Fran,10,700056.4,414256.8
Grenade,FdmBrother,2,274929.2,332337.1,ERANGEL,2U4GBNA0Ymn2EFlpQJHFXodvEXynuDW8qJozT-aIlUJf3BnFi8AI5iPGyjvgduEU,1873,HARryInWoo,NA,277090.1,328083.7
Bluezone,NA,NA,NA,NA,ERANGEL,2U4GBNA0Ymnj3wx0bpI-8y6umlEBn5552qkqfAmZ_ODtbWD4w8F96IY5Y21DHGoc,854,Mag531,23,0,0
Win94,YUMENGJIA,68,371923.2,424180.9,MIRAMAR,2U4GBNA0Ymmj_QA7XN3clClNlQQffoEhSn9Oq7fvjV0I9scuFpW2rET8Qanty3OZ,110,assloaaaaaaaa,87,371651.9,424262.1
Buggy,VVVVVVWW,4,551906.7,570604.4,ERANGEL,2U4GBNA0Ymmjl4dIbS8Y37e_0tj0WqIRKU8qmVB7-xwA5L5nXVJixelazf5WvmP9,916,iilllzy,3,552286.9,572543.8
Mini 14,Mr_Moonering,5,337912.9,522526.6,ERANGEL,2U4GBNA0YmmEKWH6OGG8UimvIcX9L9l4oB-6szr0NtSGiTMtw4Wd7kiAjVxFq1u6,1031,NingGp,21,334351,510105.9
UMP9,MuChen_X,11,437513.3,462363.8,ERANGEL,2U4GBNA0YmmPET1XlJ2BdZMXM56HyHegWE5YmLxDoAPKcBQ_NMXsoxX3v9aGVXa2,261,Datsmoto,43,433244.3,456122.1
M16A4,KG007,6,348885.1,169834.2,ERANGEL,2U4GBNA0Ymm4fmt_53ILbyRnHoyhEUNpC3SZbdT-_cL_4Tnr5X-Rem2bx-7UgUUl,948,wushiwuyanzu,8,356881.5,183475.3
AKM,MEC220,21,547592.4,136125.3,MIRAMAR,2U4GBNA0YmnZKf09A2QL6GzEhXkk2UZlveGF6CpgQ-XGPVAceaqzksJkfHMYBL6y,350,MengMa666,6,547993.6,135929.3
M16A4,arod91,11,400622.6,285223.4,ERANGEL,2U4GBNA0YmlE6RRsfDZ4Jlf8XPIzPKZV5BczOl-07B_ToG_80SEeg0bNvEHW0pBl,738,sophiandaniel,18,400484.8,285161.8
Punch,CC66123,3,430093.4,450618.1,ERANGEL,2U4GBNA0YmndUSge9E8rOOKsKCGtUMvso5XFNckYVGTdNCFBjdcsCPAG8Lag68M5,193,VIPzhangwang,25,430136.6,450551.2
M416,JieGeO66,1,427209.5,304840.5,ERANGEL,2U4GBNA0Ymmcwglx6uD8dB-FlZs9UjowlfppC4BShjmlkYEaIAD5_rPQ7uUGvtqj,1021,chengmingGG,18,427238.3,290119.6
S12K,EternalPhi,3,391969.8,287346.7,ERANGEL,2U4GBNA0Ymlypw1wBdaA29r5Whqnf7FwL9o9B03vmMhNpbrK4qFdgFNX7jUj19Ut,157,Late_Apologize,22,392060.5,286734.3
Down and Out,xingr1997,1,597566.6,416692.4,ERANGEL,2U4GBNA0Ymmmb_aQfGMkG8xhs9qvdvRwsatoH7LC4NQPuFeJ0lLc4bZ0Zs9In1vI,1462,Doge_The_Pupper,7,610454.2,417937.5
SCAR-L,Tnxiaoxiaoqiang,40,487361.8,456402.8,ERANGEL,2U4GBNA0Ymn4-Ot_iMku0gTTLjYKR_pn_hdej4B-lpgBpplJTMESVoBUWC-KpMrM,613,nami777,47,486462.3,455090.2
AKM,Glowstickwoo,11,412227.8,294857.6,ERANGEL,2U4GBNA0YmloUeVTKkI42SYpGfsRjxCler43C_TM6wO5-g2O_j6-4pBaZYDrQ3at,292,Stevens30,27,409759,295033.5
